PES1201900196,PES1UG19CS334,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900197,PES1UG19CS063,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900198,PES1UG19EC048,Sem-3,Section A,NA,ECE (RR Campus),ECE,PES University (Ring Road)
PES1201900199,PES1UG19CS295,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900200,PES1UG19CS267,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900201,PES1UG19CS210,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900202,PES1UG19CS329,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900203,PES1UG19CS354,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900204,PES1UG19CS450,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900205,PES1UG19CS588,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900206,PES1UG19CS320,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900207,PES1UG19CS263,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900208,PES1UG19CS199,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900209,PES1UG19CS440,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900210,PES1UG19CS204,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900211,PES1UG19CS232,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900212,PES1UG19CS238,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900213,PES1UG19CS058,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900214,PES1UG19CS154,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900215,PES1UG19CS404,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900216,NA,,,NA,,,
PES1201900217,PES1UG19CS167,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900217,PES1UG19CS167,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900218,NA,,,NA,,,
PES1201900219,PES1UG19CS224,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900220,NA,,,NA,,CSE,
PES1201900221,NA,,,NA,,CSE,
PES1201900222,PES1UG19CS434,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900223,PES1UG19CS005,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900224,PES1UG19CS327,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900225,PES1UG19CS001,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900226,NA,,,NA,,,
PES1201900227,PES1UG19CS032,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900228,NA,,,NA,,CSE,
PES1201900229,PES1UG19CS251,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900230,PES1UG19CS227,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900231,PES1UG19EC331,Sem-3,Section F,NA,ECE (RR Campus),ECE,PES University (Ring Road)
PES1201900232,NA,,,NA,,,
PES1201900233,PES1UG19CS064,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900234,PES1UG19CS508,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900235,PES1UG19CS270,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900236,NA,,,NA,,ME,
PES1201900237,PES1UG19CS192,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900238,PES1UG19CS494,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900239,PES1UG19CS579,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900240,PES1UG19CS043,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900241,PES1UG19CS530,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900242,PES1UG19CS068,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900243,PES1UG19CS049,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900244,PES1UG19CS419,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900245,NA,,,NA,,,
PES1201900246,PES1UG19CS098,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900247,PES1UG19CS291,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900248,PES1UG19CS362,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900249,PES1UG19CS083,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900250,PES1UG19CS325,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900251,PES1UG19CS370,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900252,PES1UG19CS309,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900253,PES1UG19CS346,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900254,PES1UG19CS584,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900255,PES1UG19CS594,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900256,NA,,,NA,,CSE,
PES1201900257,PES1UG19CS171,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900258,PES1UG19CS302,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900259,PES1UG19CS599,Sem-3,Section C,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900260,NA,,,NA,,,
PES1201900261,PES1UG19CS100,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900262,NA,,,NA,,,
PES1201900263,PES1UG19CS526,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900264,PES1UG19CS019,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900265,NA,,,NA,,CSE,
PES1201900266,PES1UG19CS128,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900267,NA,,,NA,,CSE,
PES1201900268,PES1UG19CS433,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900269,PES1UG19CS428,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900269,PES1UG19CS428,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900270,PES1UG19CS301,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900271,PES1UG19ME908,Sem-3,Section D,NA,ME (RR Campus),ME,PES University (Ring Road)
PES1201900272,PES1UG19CS131,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900273,PES1UG19CS467,Sem-3,Section H,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900274,PES1UG19CS449,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road
PES1201900274,PES1UG19CS449,CIE - Level1(Odd Sem),Section A,NA,CIE,CSE,PES University (Ring Road)
PES1201900275,PES1UG19CS554,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900276,NA,,,NA,,,
PES1201900277,NA,,,NA,,CSE,
PES1201900278,PES1UG19CS247,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900279,PES1UG19CS037,Sem-3,Section A,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900280,PES1UG19CS548,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900281,PES1UG19CS226,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900282,PES1UG19CS591,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900283,PES1UG19CS535,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900284,PES1UG19EC204,Sem-3,Section D,NA,ECE (RR Campus),ECE,PES University (Ring Road)
PES1201900285,PES1UG19CS465,Sem-3,Section G,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900286,NA,,,NA,,,
PES1201900287,PES1UG19CS356,Sem-3,Section F,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900288,NA,,,NA,,,
PES1201900289,PES1UG19CS328,Sem-3,Section E,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900290,PES1UG19CS234,Sem-3,Section D,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900291,PES1UG19CS092,Sem-3,Section B,NA,CSE (RR Campus),CSE,PES University (Ring Road)
PES1201900292,PES1UG19CS558,Sem-3,Section I,NA,CSE (RR Campus),CSE,PES University (Ring Road)
